,pack_name,brand_0,brand_1,pieces_0,pieces_1,diff_0,diff_1,num_puzzles,diff_0_num,diff_1_num
40,Artifact Puzzles Paul Bond The Giver Artifact Puzzles Miskin Dilaram Harp,Artifact,,461.0,468.0,Hard,Hard,2.0,3.0,3.0
41,Artifact Puzzles Piero Di Cosimo Liberazione Di Andromeda Artifact Puzzles Joe Vaux Season Of The Rabbit,Artifact,,411.0,300.0,Hard,A-Easy,2.0,3.0,1.0
42,Artifact Puzzles Randal Spangler Technology Meltdown Artifact Puzzles Little Seamaid,Artifact,,167.0,74.0,A-Easy,A-Easy,2.0,1.0,1.0
43,Artifact Puzzles Richard Friend Live Work Hope Artifact Puzzles Kristian Adam Mr. Pinks Place,Artifact,,177.0,203.0,A-Easy,A-Easy,2.0,1.0,1.0
44,Artifact Puzzles Roch Urbaniak Atlantyda Artifact Puzzles Edvard Munch Dance On The Beach,Artifact,,299.0,300.0,Average,A-Easy,2.0,2.0,1.0
45,Artifact Puzzles Roch Urbaniak Floating Town Artifact Puzzles Kozyndan Forest Dream ,Artifact,,228.0,216.0,A-Easy,A-Easy,2.0,1.0,1.0
46,Artifact Puzzles Sandi Rigby Botanical Dreaming ,Artifact,,1273.0,,Hard,,1.0,3.0,
47,Artifact Puzzles Tomasz Pietrzyk The Town Artifact Puzzles Qiu Ying Han Palace,Artifact,,390.0,423.0,A-Easy,Hard,2.0,1.0,3.0
48,Artifact Puzzles Tomasz Pietrzyk Whole City Aquatic Moving Company Artifact Puzzles Iwona Lifsches Jazzy Night,Artifact,,518.0,405.0,Average,Hard,2.0,2.0,3.0
49,Artifact Puzzles Tomasz Pietrzyk Whole City Aquatic Moving Company Artifact Puzzles Kahlil Rintye Cosmic Dragon,Artifact,,518.0,504.0,Average,Hard,2.0,2.0,3.0
50,Artifact Puzzles Tyukanov Purgatory Artifact Puzzles Rylov Sunset,Artifact,,659.0,80.0,Hard,Hard,2.0,3.0,3.0
51,Artifact Puzzles Van Gogh Bedroom In Arles Artifact Puzzles Bruegel Triumph of Death,Artifact,,347.0,361.0,Average,Average,2.0,2.0,2.0
52,Artifact Puzzles Van Gogh Pont De Trinquetaille Artifact Puzzles Vermeer Art Of Painting,Artifact,,327.0,323.0,Average,Average,2.0,2.0,2.0
53,Artifact Puzzles Vikram Madan North Star Artifact Puzzles Barnard Dragon Mountain,Artifact,,480.0,277.0,Average,Average,2.0,2.0,2.0
54,Artifact Puzzles Vikram Madan Robot Creation Myth Artifact Puzzles Vikram Madan Physical Impossibility,Artifact,,382.0,292.0,Average,A-Easy,2.0,2.0,1.0
55,Artifact Puzzles Vikram Madan Stop And Smell The Daisies Ecru Puzzles Ryoko Meditating Skeleton,Artifact,Ecru,171.0,81.0,Average,Average,2.0,2.0,2.0
56,BCB Puzzles Miko The Jazz Frog Choir Artifact Puzzles Iwona Lifsches Poohsticks,Artifact,Other-Hand-cut,276.0,261.0,A-Easy,A-Easy,2.0,1.0,1.0
57,BCB Puzzles Teapot and Teacups Snowflake Puzzles Koganeibashi no sekishō,Other-Hand-cut,,120.0,511.0,Average,A-Easy,2.0,2.0,1.0
58,BellArt Ice Cream Sundae Turtle Teasers Sarah Pickett Red River,,,58.0,169.0,Average,Average,2.0,2.0,2.0
59,BellArt Puzzles Double-sided Angel Maze Fish East Texas Piney Woods Puzzles Homer Rushing Spirit Bird,,,361.0,,,,1.0,2.0,
60,Bewilderness Puzzles Caleb Fleisher Unseen. Unheard. Bewilderness Puzzles DeptiAgrawalMittal Celebrations Art,,,361.0,,,,1.0,2.0,
61,Bewilderness Puzzles Desert Candles Bewilderness Puzzles Whole Lotta Dice,,,361.0,,,,1.0,2.0,
62,Bewilderness Puzzles Gas Works Bewilderness Puzzles Mystic Mountain,,,361.0,,,,1.0,2.0,
63,Bewilderness Puzzles Rainbow Eucalyptus Bewilderness Puzzles Gaj Vakra,Other-Laser-cut,,173.0,173.0,Average,Average,2.0,2.0,2.0
64,Boardwalk Puzzles Alexey Erofalov Amsterdam Boardwalk Puzzles Alexey Erofalov Australia,Other-Laser-cut,,311.0,318.0,Average,Average,2.0,2.0,2.0
65,Boardwalk Puzzles Alexey Erofalov California Boardwalk Puzzles Lake Como Italy,Other-Laser-cut,,327.0,325.0,A-Easy,A-Easy,2.0,1.0,1.0
66,Boardwalk Puzzles Alexey Erofalov San Juan Puerto Rico Boardwalk Puzzles Alexey Erofalov Germany ,,,361.0,,,,1.0,2.0,
67,Boardwalk Puzzles Ryan Snarr French Hot Air Balloon Boardwalk Puzzles Ryan Snarr Bavarian Hot Air Balloon,,,361.0,,,,1.0,2.0,
68,Boardwalk Puzzles Tim Zeltner Journey East Boardwalk Puzzles Herb Schwartz New Animal Butterfly,Other-Laser-cut,,330.0,460.0,Average,Average,2.0,2.0,2.0
69,Chestnut And Hemlock Puzzles Mary Halym Two Apples On A Branch 3 Cat Max Puzzles,,,107.0,30.0,Average,Average,2.0,2.0,2.0
70,Chestnut and Hemlock Helen Hyde Feeding The Bunnies Chestnut and Hemlock Joris Hoefnagel Heart,,,175.0,175.0,Average,Average,2.0,2.0,2.0
71,Chris Yates Remote Archipelago BCB Puzzles The Hat Shop,Other-Hand-cut,,61.0,150.0,Average,A-Easy,2.0,2.0,1.0
