pack_name,brand_0,brand_1,piece_count_0,piece_count_1,diff_0,diff_1,num_puzzles
Chris Yates Remote Archipelago BCB Puzzles The Hat Shop,Other-Hand-cut,,61,150,Average,A-Easy,2
Culmo.Co Happy Panda Culmo.Co Terrible T-Rex,Other-Laser-cut,,671,205,Average,Average,2
Culmo.Co Puzzles Rainbow Dragon Lol Puzzles Mysterious Owl,Other-Laser-cut,,317,151,Average,Average,2
DaVici Good Morning DaVici The Life of Birds,DaVici,,170,145,A-Easy,A-Easy,2
DaVici In the Pantry DaVici Yana Fefelova Christmas Angel,DaVici,,130,250,A-Easy,Average,2
DaVici Puzzles Akhmatova Return DaVici Puzzles Fairy Tea Party,DaVici,,160,350,A-Easy,A-Easy,2
DaVici Puzzles Awakening DaVici Puzzles ,DaVici,,450,280,Average,Average,2
DaVici Puzzles Bathing Of The Colorful Dragon DaVici Puzzles Behind The Scenes (Aka Offstage),DaVici,,125,190,Average,Average,2
DaVici Puzzles Cow Ruga Puzzles Egyptian Cat,DaVici,,121,200,Average,Average,2
DaVici Puzzles Delicious Snow DaVici Puzzles Doll House,DaVici,,150,240,A-Easy,A-Easy,2
DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,DaVici,,195,220,Hard,Hard,2
DaVici Puzzles Great Art of Light and Shadow DaVici Dreamlike Prince,DaVici,,160,180,Average,A-Easy,2
DaVici Puzzles Heavenly Postman DaVici Puzzles A.P. Chehov,DaVici,,230,200,Average,Average,2
DaVici Puzzles Ivan Tsarevich and The Grey Wolf DaVici Puzzles Masha Molodykh Offstage,DaVici,,180,190,Average,Average,2
DaVici Puzzles Jugglers DaVici Puzzles Pushkins Fairy Tales,DaVici,,210,300,Average,Average,2
DaVici Puzzles Meal Time DaVici Puzzles Attraction,DaVici,,400,240,A-Easy,Average,2
DaVici Puzzles Red Shrimp DaVici Puzzles Inhabited Fish,DaVici,,165,130,A-Easy,A-Easy,2
DaVici Puzzles Sergey Adeev Flying Frigate DaVici Puzzles The Life Of Birds,DaVici,,130,145,Average,Average,2
DaVici Puzzles Stephen Hawking DaVici Puzzles A Flower in the Soul,DaVici,,250,220,Average,Average,2
DaVici Puzzles Under the Red Umbrella ,DaVici,,600,,Hard,Average,1
DaVici Puzzles Vladimir Zhdanov Lilac House DaVici Puzzles Sergey Adeev Day and Night,DaVici,,160,280,A-Easy,A-Easy,2
DaVici Red Book ,DaVici,,700,,Hard,Average,1
DaVici Tree of Dreams DaVici Bathing of the Colorful Dragon,DaVici,,193,125,A-Easy,A-Easy,2
DaVici Tribute to Rembrandt DaVici Friendship Day,DaVici,,270,180,A-Easy,A-Easy,2
Davici Puzzles Claude Monet Woman in the Garden ,DaVici,,552,,A-Easy,Average,1
Davici Puzzles Dear Lady Winter Davici Puzzles Russian Circus,DaVici,,180,330,A-Easy,A-Easy,2
Davici Puzzles Mirage Davici Puzzles Golden Sun,DaVici,,250,240,A-Easy,A-Easy,2
Davici Puzzles Noahs Ark Davici Puzzles Wisteria Moon,DaVici,,210,250,A-Easy,A-Easy,2
Davici Puzzles Photo Album Ecru Puzzles Sunny November ,DaVici,Ecru,600,369,Average,Average,2
Davici Puzzles Seasons ,DaVici,,500,,Average,Average,1
"Davici Puzzles The Sailor Cat Davici Puzzles Elementary, My Dear Watson!",DaVici,,135,150,A-Easy,A-Easy,2
Davici Puzzles Watchmaker ,DaVici,,400,,Average,Average,1
Davici Puzzles When a Star was Born Davici Puzzles Last Summer Day,DaVici,,130,190,A-Easy,Average,2
Davici Puzzles Zodiac Capricorn Davici Puzzles Zodiac Pisces,DaVici,,100,100,Average,Average,2
Dowdle Nativity Dowdle Oregon State Beavers,Other-Laser-cut,,280,300,Average,Average,2
Dowdle Puzzles New Orleans Dowdle Puzzles Nativity,Other-Laser-cut,,280,280,Hard,A-Easy,2
Ecru Mystery Puzzle #9 Artifact Puzzles Eric Joyner Gangenstein,Artifact,Ecru,223,159,A-Easy,A-Easy,2
Ecru Puzzles Aaron Wolf Siege Of Cranes Ecru Puzzles Aaron Wolf Lost Civilization,Ecru,,437,447,Hard,Hard,2
Ecru Puzzles Aaron Wolf Twilight Treehouse of the Phosphorescent Forest Artifact Puzzles Methane Studios Dragon Moon,Artifact,Ecru,426,258,Hard,Hard,2
Ecru Puzzles Piet Mondrian Oostzijdse Mill Artifact Puzzles Kessel Butterflies,Artifact,Ecru,181,161,A-Easy,A-Easy,2
Ecru Puzzles Ragamala Mughal Miniature Artifact Puzzles Piet Mondrian,Artifact,Ecru,80,153,A-Easy,Average,2
Ecru Puzzles Ton Dubbeldam Grand Italia Artifact Puzzles Michelle Morin Hummingbirds,Artifact,Ecru,270,287,A-Easy,Really-Hard,2
Elms Puzzles The Blue Gate Artifact Puzzles Kozyndan Forest Dream,Artifact,,640,216,Average,Average,2
Fools Gold Baffling Butterflies Joyful Nook Gallery Puzzles Thankful,,,100,153,Average,Average,2
Fox Smart Box Gustav Klimt Kiss Fox Smart Box Butterflies Challenge,,,311,216,Average,Average,2
FoxSmartBox Fairy Forest Summer FoxSmartBox Fairy Forest Winter,,,505,434,Average,Average,2
FoxSmartBox Tree Of Angels FoxSmartBox Visiting The Bear,,,400,400,Average,Average,2
Hellofish Piet Mondrian Hellofish Azulejo Tiles,Other-Laser-cut,,300,300,Really-Hard,Average,2
II Ravens Puzzles Claude Monet Bridge At Argenteuil Zen Puzzles Sea Glass,Other-Laser-cut,,121,125,Average,Average,2
Inside Adventure Helen Dryden The Southern Sun Zen Puzzles Chickadee,Other-Laser-cut,,571,100,Average,Average,2
Inside Adventure Odilon Redon Butterflies Peaceful Puzzles Green Heron ,Other-Laser-cut,,604,260,Average,Average,2
Joyful Nook Gallery Christmas Cheer Joyful Nook Gallery The Christmas Crew,,,236,201,Average,Average,2
Joyful Nook Puzzles Bettina Mills Coming Home ,,,700,,Average,Average,1
Kata Kissoczy Puzzles Hands Shayz Puzzles Double Bouquet,,,80,59,Really-Hard,Average,2
Liberty Puzzle Dr. Seuss Plethora of Cats Liberty Puzzles Linnea Pergola Metropolitain,Liberty,,545,616,Hard,A-Easy,2
Liberty Puzzle Jo Mora Cowboys of North America ,Liberty,,729,,Average,Average,1
Liberty Puzzle Konstatin Gorbatov A Winters Day Ecru Puzzles Kawase Hasui Nocturne,Ecru,Liberty,527, 145,Hard,Average,2
Liberty Puzzles Agra Liberty Puzzles Ditz Patchwork-Birds,Liberty,,608,562,Average,Average,2
Liberty Puzzles Alan Paterson Historical Map of New Zealand ,Liberty,,677,,Hard,Average,1
Liberty Puzzles Alex Beard The Louisiana Tree of Life Liberty Puzzles Canaletto The Thames and the City,Liberty,,555,609,Average,Average,2
Liberty Puzzles Alphonse Mucha Cycles Perfecta Liberty Puzzles Shamsa (Sunburst),Liberty,,400,484,Average,Hard,2
Liberty Puzzles Alphonse Mucha La Danse Liberty Puzzles The Ladies Home Journal All-Story Number,Liberty,,250, 258,Average,Hard,2
Liberty Puzzles Ando Hiroshige Precincts of the Tenjin Shrine at Kameido Liberty Puzzles Ito Jakuchu Peonies and Small Birds,Liberty,,500,471,Average,Hard,2
Liberty Puzzles Atkinson On The River Greta ,Liberty,,609,,Hard,Average,1
Liberty Puzzles Beautiful Fishes Of The Deep ,Liberty,,605,,Average,Average,1
Liberty Puzzles Beetles Ecru Puzzles Nicole Gustafson The Bookkeeper,Ecru,Liberty,246,372,A-Easy,Average,2
Liberty Puzzles Beryl and Graham Peters Holiday Crackers ,Liberty,,603,,A-Easy,Average,1
Liberty Puzzles Birds of the Tropics ,Liberty,,745,,Average,Average,1
"Liberty Puzzles Boris Kustodiyev Winter Carnival Fair, 1919 Liberty Puzzles Ando Hiroshige Atagoshita and Yabu Lane",Liberty,,571,564,Hard,Hard,2
Liberty Puzzles Botticelli Primavera Ecru Puzzles Amedeo Modigliani Red Scarf Wooden Jigsaw Puzzle,Ecru,Liberty,512,100,Average,A-Easy,2
"Liberty Puzzles Brad Gorman Denver Cityscape Liberty Puzzles Herbert Hofer Rome, Italy",Liberty,,469,478,A-Easy,A-Easy,2
Liberty Puzzles Celebration Ecru Puzzles Awa Tsireh Animal Designs,Ecru,Liberty,408,105,Average,A-Easy,2
Liberty Puzzles Claude Monet Poppies Near Vetheuil Liberty Puzzles Claude Monet Landscape: The Parc Monceau,Liberty,,433,507,Average,Average,2
Liberty Puzzles Claude Monet Sunrise ,Liberty,,517,,Hard,Average,1
Liberty Puzzles Claude Monet The Parc Monceau ,Liberty,,507,,Average,Average,1
Liberty Puzzles Colorado United Airlines Ecru Puzzles Jethro Buck Forest,Ecru,Liberty,534,285,Average,Average,2
"Liberty Puzzles Cranes, Cycads and Wisteria Liberty Puzzles Ando Hiroshige Fudo Falls, Oji",Liberty,,486,599,Hard,Average,2
Liberty Puzzles Cupid Garden Party Liberty Puzzles Phil Lewis Magpie,Liberty,,236,155,Average,Average,2
Liberty Puzzles Damian Elwes Matisses Studio Ecru Puzzles Erin Hanson Layers Of Afternoon,Ecru,Liberty,483,287,Hard,Hard,2
Liberty Puzzles David Newton Sunset: Pool of London Liberty Puzzles Damian Elwes Picassos Studio,Liberty,,507,527,Average,Average,2
Liberty Puzzles Ditz Patchwork-Birds Liberty Puzzles A Resounding Success,Liberty,,562,513,A-Easy,Average,2
Liberty Puzzles Donna Schuster In The Garden Liberty Puzzles Centenario,Liberty,,378,477,Average,Hard,2
Liberty Puzzles Dr. Seuss Every Girl Should Have A Unicorn Ecru Puzzles Grant Haffner Sunset on Old Montauk Highway,Ecru,Liberty,539,282,Average,Average,2
Liberty Puzzles Dr. Seuss Green Cat with Lights Ecru Puzzles Mystery Puzzle #14,Ecru,Liberty,584,398,Average,Average,2
Liberty Puzzles Dr. Seuss I Dreamed I Was a Doorman at the Hotel Del Coronado Liberty Puzzles Butterfly Golden Pumpkin,Liberty,,654,309,Hard,A-Easy,2
Liberty Puzzles Dr. Seuss Incidental Music for a New Year&#39;s Eve Party Ecru Puzzles Kristian Adam Pizza Boyz,Ecru,Liberty,616,387,Average,Average,2
Liberty Puzzles Dr. Seuss Joseph Katz and His Coat of Many Colors Liberty Puzzles Harrison Weir The Dogs Dinner Party,Liberty,,418,447,Average,Average,2
Liberty Puzzles Duke Beardsley Close Range ,Liberty,,613,,Average,Average,1
Liberty Puzzles Elena Khmeleva Christmas Tree ,Liberty,,755,,Hard,Average,1
Liberty Puzzles Erin Huybrechts Davis Woodland Wheel Liberty Puzzles Karen Williams-Brusubardis Yanapuma,Liberty,,501,501,Average,Really-Hard,2
Liberty Puzzles Francis Farmar August In Weymouth Liberty Puzzles Alex Beard The Louisiana Tree Of Life,Liberty,,495,555,Average,Average,2
Liberty Puzzles Frank Cowper Vanity Ecru Puzzles Scott Gustafson Belling The Cat,Ecru,Liberty,473,364,Average,Hard,2
Liberty Puzzles Frenchy All On A Mardi Gras Day Liberty Puzzles Daria Hlazatova Leopard,Liberty,,527,491,Hard,Hard,2
Liberty Puzzles Gustav Klimt Pear Tree Ecru Puzzles Rachell Sumpter Brothers In Sport,Ecru,Liberty,469,179,Really-Hard,A-Easy,2
"Liberty Puzzles Gustave Caillebotte Cliffs by the Sea at Trouville Liberty Puzzles Winslow Homer A Good Pool, Saguenay River",Liberty,,523,360,Average,Average,2
Liberty Puzzles Herbert Hofer Rome Italy Liberty Puzzles August In Weymouth,Liberty,,478,495,A-Easy,Average,2
Liberty Puzzles Hokusai Falcon and Cherry Tree Liberty Puzzles Sue Coccia Wolf,Liberty,,250,420,Average,Average,2
"Liberty Puzzles Hokusai Fine Wind, Clear Morning Liberty Puzzles Egon Schiele View of Krumau",Liberty,,252,508,Average,Average,2
Liberty Puzzles Holiday Wreath Liberty Puzzles Beryl Peters Designs Yuletide Memories,Liberty,,289,690,Hard,Hard,2
Liberty Puzzles Isaac Grunewald The Blue Pergola Liberty Puzzles Claude Monet The Artists Garden at Vetheuil,Liberty,,481,480,Average,Hard,2
Liberty Puzzles Isaac Grunewald The Blue Pergola Liberty Puzzles Dr. Seuss Every Girl Should Have a Unicorn,Liberty,,481,539,Average,Average,2
Liberty Puzzles James Sommerville Ocean Life ,Liberty,,769,,Hard,Average,1
Liberty Puzzles Jan Davidson Carmel by the Sea ,Liberty,,664,,Hard,Average,1
Liberty Puzzles Jan Davidson L.A. By Night Liberty Puzzles Gisbert Combaz La Libre Esthetique,Liberty,,588,528,Hard,Average,2
Liberty Puzzles Jan Davidson San Francisco ,Liberty,,670,,Average,Average,1
Liberty Puzzles Jane Tattersfield Birds Liberty Puzzles Castle Neuschwanstein,Liberty,,509,641,Average,Average,2
Liberty Puzzles Jane Tattersfield More Blooms In a Basket Liberty Puzzles David Newton Winterlands,Liberty,,496,524,Average,Hard,2
Liberty Puzzles Jane Tattersfield Peacock And Pattern Peaceful Puzzles August Macke Landscape at the Tegersee ,Liberty,Other-Laser-cut,508,400,Average,Average,2
Liberty Puzzles Jane Tattersfield Peacock and Pattern Liberty Puzzles Anthony Todd The Wine Tour,Liberty,,508,495,Average,Average,2
Liberty Puzzles Janice Larson Orchids in the East Window Liberty Puzzles Linnea Pergola Nantucket,Liberty,,548,468,Average,A-Easy,2
Liberty Puzzles Janice Larson Spring Garden Liberty Puzzles Linnea Pergola Left Bank Afternoon,Liberty,,466,572,Average,A-Easy,2
"Liberty Puzzles Jasper Cropsey Starrucca Viaduct, Pennsylvania Ecru Puzzles Richard Friend A Favorite Place",Ecru,Liberty,530,141,Average,Average,2
Liberty Puzzles Jean Jans The Younger The Battle Of Granicus ,Liberty,,602,,Hard,Average,1
Liberty Puzzles Jean-Leon Gerome Carpet Merchant ,Liberty,,658,,Average,Average,1
Liberty Puzzles Jeanne Maze Woodland Scene Liberty Puzzles Victorian Christmas Tree,Liberty,,541,607,Average,Average,2
Liberty Puzzles Jo Mora Indians of North America ,Liberty,,762,,Hard,Average,1
Liberty Puzzles John Audubon Carolina Parakeet Ecru Puzzles Erin Hanson Cypress Lights,Ecru,Liberty,332,398,Average,Average,2
Liberty Puzzles John Trumbull Declaration of Independence Liberty Puzzles Liberty Eagle,Liberty,,608,308,Average,Average,2
Liberty Puzzles Karen Williams-Brusubardis Yanapuma Liberty Puzzles Alice Schille Water Lilies,Liberty,,501,544,Hard,Average,2
Liberty Puzzles Limoneira Santa Liberty Puzzles Christmas Robins,Liberty,,257,270,Average,Average,2
Liberty Puzzles Linda Israel Buffalo Strength Liberty Puzzles Sarah Gentry Mels Belles,Liberty,,486,546,Average,Average,2
Liberty Puzzles Linnea Pergola Hills of San Francisco Liberty Puzzles Alex Beard The Painting of Life,Liberty,,577,536,Average,Hard,2
Liberty Puzzles Linnea Pergola Left Bank Afternoon Liberty Puzzles David Newton Blue Forest,Liberty,,572,501,A-Easy,Average,2
Liberty Puzzles Linnea Pergola Light Snowfall in New York ,Liberty,,702,,Average,Average,1
Liberty Puzzles Linnea Pergola Lugano Liberty Puzzles Erin Huybrechts Davis Woodland Wheel,Liberty,,582,501,Average,Average,2
Liberty Puzzles Linnea Pergola Maui ,Liberty,,703,,Hard,Average,1
Liberty Puzzles Linnea Pergola San Miguel de Allende Ecru Puzzles Maurice Denis Pittsburgh Sunset,Ecru,Liberty,527,290,Hard,Hard,2
Liberty Puzzles Linnea Pergola The Girl and the Sea Liberty Puzzles Phil Lewis Flatirons,Liberty,,489,433,Hard,Hard,2
Liberty Puzzles Lisa Graa Jensen Jenny&#39;s Garden Liberty Puzzles Jeanne Maze Woodland Scene,Liberty,,468,541,A-Easy,A-Easy,2
Liberty Puzzles Lisa Graa Jensen Jennys Garden Liberty Puzzles Sarah Gentry Abundance,Liberty,,468,569,Average,Average,2
Liberty Puzzles Lisa Graa Jensen Starry River Ecru Puzzles Nicole Gustafsson Mosslands,Ecru,Liberty,480,282,Hard,A-Easy,2
Liberty Puzzles Lynon Aksamit Chasing Butterflies 66 Mya,Liberty,,657,,Hard,Average,2
Liberty Puzzles Lynon Aksamit Holi Raja Liberty Puzzles Francis Farmar Piccadilly Circus,Liberty,,577,564,Average,Average,2
Liberty Puzzles Lynon Aksamit Octopus ,Liberty,,495,,Really-Hard,Average,1
Liberty Puzzles Marc Chagall I and the Village Liberty Puzzles Jan Brueghel and Peter Paul Rubens Sight,Liberty,,465,533,Average,Hard,2
Liberty Puzzles Matson Lines Hawaii Liberty Puzzles Hector Giacomelli Perch Of Birds,Liberty,,567,326,Average,Average,2
Liberty Puzzles Maurice Prendergast The Grand Canal Ecru Puzzles Aaron Wolf The Kingdom,Ecru,Liberty,498,214,Hard,Average,2
Liberty Puzzles Maxfield Parrish The Dream Garden Liberty Puzzles David Newton Winterlands,Liberty,,553,524,Average,Average,2
Liberty Puzzles Michelangelo Last Judgement ,Liberty,,717,,Really-Hard,Average,1
Liberty Puzzles Morses Santa Claus Liberty Puzzles New Years Toboggan,Liberty,,327,321,Hard,A-Easy,2
Liberty Puzzles Muktair Oladoja Lovers Ecru Puzzles Mystery Puzzle #23,Ecru,Liberty,504, 242,Average,Average,2
Liberty Puzzles Oregon Trail ,Liberty,,785,,Average,Average,1
Liberty Puzzles P.J. Crook Sea Dog Ecru Puzzles Mystery Puzzle #15,Ecru,Liberty,514,357,Average,Average,2
Liberty Puzzles Paris Air France Ecru Puzzles Robert Delaunay Eiffel Tower,Ecru,Liberty,483,,Hard,A-Easy,2
Liberty Puzzles Pat Scott Tasty Treat Liberty Puzzles Currier and Ives Central Park Winter,Liberty,,551,535,Average,Average,2
Liberty Puzzles Paul Ranson Edge of the Forest Liberty Puzzles Phil Lewis Winter Carnival III,Liberty,,527,547,Hard,A-Easy,2
"Liberty Puzzles Paul Signac The Herb Market, Verona Liberty Puzzles Claude Monet The Artists Garden at Giverny",Liberty,,505,531,Average,Average,2
Liberty Puzzles Paul Signac The Port of Saint-Tropez Liberty Puzzles Janice Larson Fall Garden,Liberty,,533,488,Hard,Hard,2
Liberty Puzzles Phil Lewis Flatirons ,Liberty,,864,,Average,Average,1
Liberty Puzzles Phil Lewis Let It Flow Liberty Puzzles Sue Coccia Grizzly Bear,Liberty,,420,471,Average,Average,2
Liberty Puzzles Phil Lewis Phoenix Liberty Puzzles Cats and Doves,Liberty,,466,519,Average,Hard,2
Liberty Puzzles Phil Lewis Sugar Magnolia ,Liberty,,881,,Hard,Hard,1
Liberty Puzzles Phil Lewis Sunshine Daydream ,Liberty,,902,,Hard,Average,1
Liberty Puzzles Pieter Brueghel Children Games ,Liberty,,795,,Average,Average,1
Liberty Puzzles Plants And Insects ,Liberty,,568,,Hard,Average,1
Liberty Puzzles Rebecca Cambell The Menagerie ,Liberty,,642,,Hard,Average,1
Liberty Puzzles Rebecca Campbell Its Raining Cats And Dogs Liberty Puzzles Alphonse Mucha Cycles Perfecta,Liberty,,470,400,Average,Average,2
Liberty Puzzles Richard Dadd The Fairy Fellers Master Stroke ,Liberty,,480,,Hard,Average,1
Liberty Puzzles Sage Wirth Chautauqua Park Ecru Puzzles Ton Dubbeldam Carpe Diem,Ecru,Liberty,252,354,Average,Really-Hard,2
Liberty Puzzles Sarah Gentry Abundance Liberty Puzzles A Resounding Success,Liberty,,569,513,A-Easy,Hard,2
Liberty Puzzles Sarah Gentry Mels Belles Liberty Puzzles Rex Ray Alistair,Liberty,,546,550,Average,Average,2
Liberty Puzzles Sue Coccia Bald Eagle Liberty Puzzles Sue Coccia Dolphin,Liberty,,375,250,A-Easy,A-Easy,2
Liberty Puzzles Sue Coccia Great Horned Owl Liberty Puzzles Jan Barwick ,Liberty,,372,510,Average,Average,2
Liberty Puzzles Sue Coccia Mabula Elephant Liberty Puzzles Sue Coccia Bison,Liberty,,573,373,Hard,A-Easy,2
