,member,hold_time,pack_name
58,member3,4.080146903551019,DaVici Puzzles Sergey Adeev On Land and Sea DaVici Puzzles Masha Molodykh Offstage
59,member3,12.680248382705129,Liberty Puzzles World Map 
60,member3,5.082726619854502,Nautilus Puzzles  Prague Clock 
61,member3,22.800205752569525,Artifact Puzzles Tyson Grumm The Sleepover Artifact Puzzles Paul Bond The Yogi
62,member3,58.32787488204432,Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Justin Hillgrove Word Travels South
63,member3,58.28646791948051,Artifact Puzzles Tyukanov Uprising of the Sausages Artifact Puzzles Karla Gerard Lively Landscape
64,member3,59.50127789710501,Nautilus Puzzles Once Upon a Fairytale 
65,member3,4.985608511460011,DaVici Puzzles Russian Tryptych 
66,member3,2.0985068362142822,Artifact Puzzles Gavin Watson Creature Comforts Artifact Puzzles Kevin Sloan Fragile Habitat
67,member3,11.38902160768898,Wentworth Puzzles Miguel Freitas This is London 
68,member3,12.259190544253135,Nautilus Puzzles Pip Shuckburgh Dance of the Elephants Nautilus Puzzles Alphonse Mucha Spring
69,member3,15.484396661074236,Davici Puzzles When a Star was Born Davici Puzzles Last Summer Day
70,member3,20.24099569572905,"Liberty Puzzles Brad Gorman Denver Cityscape Liberty Puzzles Herbert Hofer Rome, Italy"
71,member3,7.211038881743357,Unidragon Puzzles Fairy Bird Unidragon Puzzles Guarding Dragon
72,member3,56.46668449869826,DaVici Puzzles Millenium Tree 
73,member3,67.22394636633754,Wentworth Puzzles Rebecca McCulloch Harbour Houses 
74,member3,5.393230239140035,"Davici Puzzles The Sailor Cat Davici Puzzles Elementary, My Dear Watson!"
75,member3,24.09956415390442,Liberty Puzzles Phil Lewis Sunshine Daydream 
76,member3,23.06658338849204,Davici Puzzles Dear Lady Winter Davici Puzzles Russian Circus
77,member3,15.496194312652651,DaVici Puzzles Anton Gorcevic I Had A Dream Once DaVici Puzzles Sergey Adeev Day and Night
78,member3,15.45361009466426,Artifact Puzzles Vikram Madan North Star Artifact Puzzles Barnard Dragon Mountain
79,member3,65.9635429732889,Liberty Puzzles Maurice Prendergast The Grand Canal Ecru Puzzles Aaron Wolf The Kingdom
80,member3,67.94477693254295,Liberty Puzzles Rebecca Cambell The Menagerie 
81,member3,27.361030356175466,Snowflake Puzzle Collage of 8 Classic National Parks Travel Posters Wongo Puzzles The Turtle
82,member3,32.42241135030803,Artifact Puzzles Tom Kidd Dunne Estates Artifact Puzzles Old Venice Map
83,member3,60.34271115052306,Wentworth Puzzles Clair Rossiter Spring Market 
84,member4,11.289441297400831,Liberty Puzzles Linnea Pergola The Girl and the Sea Liberty Puzzles Phil Lewis Flatirons
85,member4,7.825819897202951,Artifact Puzzles Bruce Riley Stem Cell Artifact Puzzles APAK Islands Of Life
86,member4,6.10561844288728,Artifact Puzzles Joe Vaux Season Of The Rabbit Artifact Puzzles Justin Hillgrove Mad Tea Party
87,member4,21.00753592722729,Wentworth Puzzles P.D. Moreno Cabin in the Woods 
88,member4,20.0403696683389,Artifact Puzzles Eric Joyner Tiger Mountain Artifact Puzzles APAK Fruit of Dreams
89,member4,34.06719222601188,Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Kristian Adam Snoozies
90,member4,45.08465552965201,Ecru Puzzles Layers Of Afternoon Ecru Puzzles William Penhallow Henderson Luceros Place
91,member4,97.10092363074348,Ecru Puzzles Aaron Wolf Twilight Treehouse of the Phosphorescent Forest Artifact Puzzles Methane Studios Dragon Moon
92,member4,29.8239346468541,Artifact Puzzles Matte Stephens Central Park Fifth Avenue Artifact Puzzles APAK Celebrating Nature
93,member5,4.769832372825822,Artifact Puzzles Hokusai Dragon Artifact Puzzles Franz Marc 1912 Blue Horse
94,member5,8.275867401197187,Artifact Puzzles Kevin Sloan Burden of Formality Artifact Puzzles Nadiezda Night Ship
95,member5,5.808636941825255,Artifact Puzzles Vikram Madan Social Distancing Ecru Puzzles Kristian Adam Galapalooga Bay
96,member5,3.008151595738565,Ecru Puzzles Hokusai Wave Ecru Puzzles Rachell Sumpter Wild Moor
97,member5,6.019468716318518,Artifact Puzzles Some Enchanted Evening Artifact Puzzles Randal Spangler Fireside Fairytales
98,member5,6.094232564347049,Wentworth Puzzles Three Wise Men Whimsy Puzzles Second Date
99,member5,6.659496799120127,Artifact Puzzles Dennis Brady Circles and Squares Artifact Puzzles Diego Mazzeo Mechanical Griffin
100,member5,4.739455028589398,Artifact Puzzles Claire Henley Sailing Round The Mount Artifact Puzzles Angie Rees When Whales Set Sail
101,member5,5.750108527584838,Nautilus Puzzles Once Upon a Fairytale 
102,member5,12.811756926366993,Ecru Puzzles Allen Gilbert Cram Fishermans Cottage Artifact Puzzles Georgia Okeefe Reflections
103,member5,10.50908449613036,Artifact Puzzles Carl Larsson Holiday Reading Artifact Puzzles Dove Of The Holy Spirit
104,member5,4.822704828973692,Wentworth Puzzles Westminster at Christmas 
105,member5,4.635830837153252,Artifact Puzzles Allie Sullberg Lets Dance Artifact Puzzles Kevin Sloan Welcome to the Wilderness
106,member5,2.04567535426956,Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Tomasz Pietrzyk Romeo And Juliet
107,member5,6.737305357109352,Ecru Puzzles Franz Marc Cat Ecru Puzzles Patricia Hopwood-Wade Snowbirds
108,member5,7.90803761611463,Artifact Puzzles Jonik Rapunzel Artifact Puzzles Jonik Troll Toll
109,member5,7.908142463449294,Artifact Puzzles Tyson Grumm The Sleepover Artifact Puzzles Paul Bond The Yogi
110,member5,48.7997775160627,Artifact Puzzles Karla Gerard Farmland Ecru Puzzles Van Gogh Almond Blossoms
111,member5,45.8962078844861,Artifact Puzzles APAK Celebrating Nature Artifact Puzzles Angie Rees Precious Cargo
112,member5,23.058510960225384,Artifact Puzzles Van Gogh Boats Artifact Puzzles Rekunenko Charming Village
113,member5,36.05627125082987,Artifact Puzzles Great Robot Migration 
114,member5,10.26525311745464,Artifact Puzzles Joe Vaux Season Of The Rabbit Artifact Puzzles Justin Hillgrove Mad Tea Party
115,member5,13.39523678565816,Artifact Puzzles Seurat Grande Jatte Artifact Puzzles Klimt The Kiss 
116,member5,15.115820477511308,DaVici Josephine Wall Winter Dreaming 
117,member5,5.598021122425,"Wentworth Puzzles Zebo Ludvicek Birdcages Wentworth Puzzles Hyde Street View, San Francisco"
118,member5,31.490462778211977,Artifact Puzzles Tyson Grumm Slacking Pandas Artifact Puzzles Utagawa Kuniyoshi Cats
119,member5,1.8820922522570949,Artifact Puzzles Joe Vaux Garden Of Earthly Delights 
120,member5,33.048672281553635,Artifact Puzzles Paul Bond Ode To A Zen Koan Artifact Puzzles John Henry Dearle Forest Tapestry
121,member5,12.80958023808758,DaVici Puzzles Red Shrimp DaVici Puzzles Inhabited Fish
122,member5,11.078286174416863,Artifact Puzzles Justin Hillgrove Overwhelming Odds Artifact Puzzles Angie Rees Boobie Trapped
123,member5,13.877760058494676,Artifact Puzzles Gavin Watson Creature Comforts Artifact Puzzles Kevin Sloan Fragile Habitat
124,member5,9.918058438565067,DaVici Puzzles Russian Tryptych 
125,member5,3.674656368813496,Stave Puzzles Candy Thun Tropical Punch Whimsy Puzzles Lighthouse By The Sea
126,member5,14.921103287070313,Artifact Puzzles Kathryn Freeman Lullaby For Lions Artifact Puzzles Jill Bennet Fantastic Mr. Fox
127,member5,9.906750013701794,Artifact Puzzles Vikram Madan Robot Creation Myth Artifact Puzzles Vikram Madan Physical Impossibility
128,member5,56.93668307456529,Artifact Puzzles Yuri Gorbachev Two Cats Artifact Puzzles Vladstudio Owl Internet Cafe
129,member5,68.00280171793841,DaVici Red Book 
130,member5,9.260145988941852,Artifact Puzzles Joe Vaux Grass Is Greener Artifact Puzzles Justin Hillgrove Mad Tea Party
131,member5,46.76578019320591,Ecru Puzzles Mystery Puzzle #18 Ecru Puzzles Scott Gustafson Belling The Cat
132,member5,36.706756848005696,Ecru Puzzles Ton Dubbeldam Provence Revisited Ecru Puzzles Mystery Puzzle #17
133,member5,17.020618408663474,Ecru Puzzles Mystery Puzzle #21 Artifact Puzzles Allen Douglas The Kraken
134,member5,35.04629206070103,Wentworth Puzzles Maureen Rupprecht Pencil Collage Wentworth Puzzles Fractal Geometry Olga Salt
135,member5,50.79342138284996,Artifact Puzzles Randal Spangler Technology Meltdown Artifact Puzzles Little Seamaid
136,member5,52.68589263156109,Liberty Puzzles Phil Lewis Sugar Magnolia 
137,member5,20.695044508417627,Artifact Puzzles - William Glackens Cape Cod Pier Artifact Puzzles Julius LeBlanc Stewart Yachting
138,member5,20.69559137006241,Wentworth Puzzles Rebecca McCulloch Harbour Houses 
139,member5,21.772622335228483,Artifact Puzzles Iwona Lifsches Poohsticks Artifact Puzzles Deccan Miniature
140,member6,10.139077880684352,Artifact Puzzles Gore Icknield Way Artifact Puzzles Kevin Sloan The Gift Arrives
141,member6,18.1337970903864,Artifact Puzzles Kristian Adam Jacuzzi Boyz Ecru Puzzles Kristian Adam Pizza Boyz
142,member6,17.71664621903588,Artifact Puzzles Randal Spangler Some Enchanted Evening Artifact Puzzles Justin Hillgrove Imps And Monsters
143,member6,11.136908096698622,Nautilus Puzzles Zodiac Rainbow 
144,member6,9.032184335764155,Artifact Puzzles Allie Sullberg Lets Dance Artifact Puzzles Kevin Sloan Welcome to the Wilderness
145,member6,23.05845893662207,Artifact Puzzles Gavin Watson Creature Comforts Artifact Puzzles Kevin Sloan Fragile Habitat
146,member6,37.662452305730696,Artifact Puzzles Daniel Merriam Man In The Moon Ecru Puzzles Nicole Gustafson The Bookkeeper
147,member6,19.678828789252226,Artifact Puzzles Angie Rees The Carrot Artifact Puzzles Kozyndan Bunny Blossoms
148,member6,14.594914483800949,Wentworth Puzzles Nanook of the North Wentworth Puzzles Penguin Huddle
149,member6,22.728230283839203,Artifact Puzzles Gore Icknield Way Artifact Puzzles Charles Courney Curran Lotus Lilies
150,member6,29.86522755029094,Artifact Puzzles Roch Urbaniak Unexpected Visitor Artifact Puzzles Lucas Cranach the Elder Hunting at Hartenfels Castle
151,member6,42.78622047221136,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams
152,member6,17.728274109795624,Artifact Puzzles Jonik Troll Toll Artifact Puzzles Angie Rees Happy Harbor
153,member6,9.807287939343992,Artifact Puzzles Kathryn Freeman The Sunday Paper Artifact Puzzles Sandi Rigby Tree of Wisdom Wooden
154,member6,0.9389895898390164,Artifact Puzzles Tyukanov Flying Bottle Artifact Puzzles Tom Kidd Dunne Estates
155,member6,2.111615935707338,Liberty Puzzles Frenchy All On A Mardi Gras Day Liberty Puzzles Daria Hlazatova Leopard
156,member7,3.054004760665486,Artifact Puzzles Dennis Brady Circles and Squares Artifact Puzzles Diego Mazzeo Mechanical Griffin
157,member7,2.0241690644313888,Artifact Puzzles - William Glackens Cape Cod Pier Artifact Puzzles Julius LeBlanc Stewart Yachting
158,member7,6.2908770816665855,Artifact Puzzles Isabelle Plante La Connaissance Artifact Puzzles Justin Hillgrove Word Travels West
159,member7,5.182421610593275,DaVici Puzzles Diana Zimens City Of Cats 
160,member7,1.2066964739339698,DaVici Puzzles Friendship Day DaVici Puzzles Alexander Uglanov Awakening
161,member7,8.995942299349467,Artifact Puzzles Seurat Grande Jatte Artifact Puzzles Joe Vaux Fishing Village
