,name,pieces_d1,pieces_d2,pieces_d3,pieces_d4,num_puzzles
67,Wentworth Puzzles Colin Thompson Neverending Stories ,0.0,1000.0,0.0,0.0,1
68,Wentworth Puzzles Colin Thompson Our Town ,0.0,0.0,1000.0,0.0,1
69,Wentworth Puzzles Colin Thompson The Collectors Cupboard ,0.0,0.0,0.0,1000.0,1
70,Wentworth Puzzles David Maclean Parisian Charm ,1000.0,0.0,0.0,0.0,1
71,Wentworth Puzzles David Newton Feline Fulfilment (After Klimt) ,0.0,1000.0,0.0,0.0,1
72,Wentworth Puzzles Dominic Davison Christmas at Home ,0.0,1000.0,0.0,0.0,1
73,Wentworth Puzzles Dominic Davison Church Lane Cottage ,0.0,1000.0,0.0,0.0,1
74,Wentworth Puzzles E. B. Watts Rabbit Heaven ,0.0,1000.0,0.0,0.0,1
75,Wentworth Puzzles E.B. Watts Sheep with Patchwork ,0.0,1000.0,0.0,0.0,1
76,Wentworth Puzzles Eduard-ArtBeat Studios Botanical Montage ,0.0,1000.0,0.0,0.0,1
77,Wentworth Puzzles Fractal Geometry Wentworth Puzzles ,0.0,0.0,0.0,229.0,1
78,Wentworth Puzzles Grant Wood American Gothic ,0.0,1500.0,0.0,0.0,1
79,Wentworth Puzzles Greg Giordano Garden Party ,0.0,1000.0,0.0,0.0,1
80,Wentworth Puzzles Lars Stewart Indian Pillow Market ,0.0,1000.0,0.0,0.0,1
81,Wentworth Puzzles Lena ArtBeat A Gem of a Succulent ,0.0,1000.0,0.0,0.0,1
82,"Wentworth Puzzles Lesley Ivory Megatab, Mintaka and the Snowman ",0.0,1000.0,0.0,0.0,1
83,"Wentworth Puzzles Leslie Anne Ivory Mumu, Twiglet and Mintaka in Ancient Egypt at Christmas ",0.0,1000.0,0.0,0.0,1
84,Wentworth Puzzles Luigi Premazzi The Raspberry Salon ,0.0,1000.0,0.0,0.0,1
85,Wentworth Puzzles Martin Fry Botanical Garden ,0.0,0.0,1000.0,0.0,1
86,Wentworth Puzzles Miguel Freitas This is London ,1000.0,0.0,0.0,0.0,1
87,Wentworth Puzzles P.D. Moreno Cabin in the Woods ,1000.0,0.0,0.0,0.0,1
88,Wentworth Puzzles Pieter Brueghel the Younger The Village Festival ,0.0,1000.0,0.0,0.0,1
89,Wentworth Puzzles Richard Macneil Summer Hedgehogs ,0.0,1000.0,0.0,0.0,1
90,Wentworth Puzzles Russian Dolls ,750.0,0.0,0.0,0.0,1
91,Wentworth Puzzles Spring Sakura ,0.0,1000.0,0.0,0.0,1
92,Wentworth Puzzles Thomas Cole The Course of Empire: The Consummation of Empire ,0.0,0.0,1500.0,0.0,1
93,Wentworth Puzzles Van Gogh Almond Blossoms ,0.0,1000.0,0.0,0.0,1
94,Wentworth Puzzles Zhang Meili Red Lillies ,0.0,1000.0,0.0,0.0,1
95,Whimsy Wood Puzzles An Ocean Party ,0.0,0.0,425.0,0.0,1
96,Artifact Puzzles Sorolla Valencia Artifact Puzzles Monet Bridge ,150.0,0.0,0.0,0.0,1
97,DaVici Puzzles Millenium Tree ,0.0,0.0,1098.0,0.0,1
98,Liberty Puzzles Dr. Seuss A Plethora of Fish ,0.0,470.0,0.0,0.0,1
99,Liberty Puzzles Hawaiian Islands ,0.0,0.0,739.0,0.0,1
100,Liberty Puzzles Jan-Loup Grand Circuit Des Capitales ,0.0,0.0,739.0,0.0,1
101,Liberty Puzzles Linda Israel Troublesome Moose ,0.0,0.0,517.0,0.0,1
102,Liberty Puzzles Linnea Pergola Barcelona ,0.0,0.0,673.0,0.0,1
103,Liberty Puzzles Linnea Pergola Florence ,0.0,591.0,0.0,0.0,1
104,Liberty Puzzles Linnea Pergola Machu Picchu ,0.0,670.0,0.0,0.0,1
105,Liberty Puzzles Pieter Bruegel the Elder The Battle of Carnival and Lent ,0.0,0.0,707.0,0.0,1
106,Liberty Puzzles Sue Coccia Frog ,0.0,498.0,0.0,0.0,1
107,Mr. Gogo Puzzles Alphonse Mucha The Precious Stones ,726.0,0.0,0.0,0.0,1
108,Mr. Gogo Puzzles Alphonse Mucha Times of the Day ,0.0,0.0,750.0,0.0,1
109,Nautilus Puzzles Chholing Taha Blessing of the Polar Bears ,475.0,0.0,0.0,0.0,1
110,Nautilus Puzzles Gustav Klimt The Kiss ,0.0,371.0,0.0,0.0,1
111,Nautilus Puzzles Hello Angel Up ,0.0,450.0,0.0,0.0,1
112,Nautilus Puzzles Henri Rousseau The Dream ,0.0,0.0,693.0,0.0,1
113,Nautilus Puzzles Liberty Eugene Delacroix Liberty Leading the People ,0.0,0.0,466.0,0.0,1
114,Nautilus Puzzles Oxana Zaika Midnight Falcon  ,0.0,0.0,373.0,0.0,1
115,Nautilus Puzzles Oxana Zaika Summer Cat ,0.0,0.0,533.0,0.0,1
116,Nautilus Puzzles Paul Klee Fish Magic ,0.0,0.0,0.0,450.0,1
117,Nautilus Puzzles Zodiac Rainbow ,0.0,500.0,0.0,0.0,1
118,Nautilus Vincent Van Gogh Rowing Boats on the Bank of the Oise ,0.0,434.0,0.0,0.0,1
119,Stumpcraft Julien Deval Malediction ,0.0,0.0,472.0,0.0,1
120,Stumpcraft Mandy Budan Falling ,0.0,460.0,0.0,0.0,1
121,Stumpcraft Puzzles Tom Thomson Soft Maple in Autumn ,0.0,0.0,408.0,0.0,1
122,Wentworth Puzzles Clair Rossiter Spring Market ,1000.0,0.0,0.0,0.0,1
123,Wentworth Puzzles Garry Walton Greatest Bookshop in the World ,0.0,1000.0,0.0,0.0,1
124,Wentworth Puzzles Rebecca McCulloch Harbour Houses ,1000.0,0.0,0.0,0.0,1
125,Wentworth Puzzles Spring Flowers and Poole Pottery ,0.0,1000.0,0.0,0.0,1
126,Wentworth Puzzles Westminster at Christmas ,0.0,1000.0,0.0,0.0,1
127,Whimsy Puzzles Christy Moeller Cat Girl Hartmaze Puzzles Owl ,0.0,450.0,0.0,0.0,1
128,Artifact Puzzles Iwona Lifsches Santa Claus Delivery Wentworth Puzzles Do not Disturb ,158.0,0.0,0.0,0.0,1
129,Nautilus Puzzles  Prague Clock ,0.0,500.0,0.0,0.0,1
130,Nautilus Puzzles Stan The Man ,250.0,0.0,0.0,0.0,1
131,Wentworth Puzzles Green Fingers ,0.0,750.0,0.0,0.0,1
132,Artifact Puzzles Edward Hopper Chop Suey Artifact Puzzles Edward Hopper Nighthawks ,346.0,0.0,0.0,0.0,1
133,Liberty Puzzles World Map ,0.0,0.0,1017.0,0.0,1
134,Nautilus Puzzles Arnold Bocklin Isle Of The Dead ,0.0,0.0,510.0,0.0,1
135,Nautilus Puzzles James Sommerville Ocean Life ,0.0,475.0,0.0,0.0,1
136,Nautilus Puzzles Mandala Stones ,0.0,0.0,432.0,0.0,1
137,Nautilus Puzzles Marin Headlands ,0.0,475.0,0.0,0.0,1
138,Nautilus Puzzles Once Upon a Fairytale ,428.0,0.0,0.0,0.0,1
139,Nautilus Puzzles Steve Skelton Space Colony ,0.0,522.0,0.0,0.0,1
140,Nautilus Puzzles The Baja Trail ,0.0,500.0,0.0,0.0,1
141,Stumpcraft Puzzles Monique Munoz We Are The Lotus Kids ,0.0,0.0,888.0,0.0,1
142,DaVici Josephine Wall Winter Dreaming ,0.0,400.0,0.0,0.0,1
143,DaVici Puzzles Nadezhda Strelkina Peace On Earth ,0.0,695.0,0.0,0.0,1
144,DaVici Puzzles Russian Tryptych ,0.0,0.0,1000.0,0.0,1
145,Mr. Gogo Puzzles Alphonse Mucha Beechers ,750.0,0.0,0.0,0.0,1
146,Mr. Gogo Puzzles Alphonse Mucha Job Cigarettes ,0.0,0.0,400.0,0.0,1
147,Mr. Gogo Puzzles Alphonse Mucha Reverie  ,0.0,400.0,0.0,0.0,1
148,Mr. Gogo Puzzles Hypnosis ,0.0,0.0,0.0,472.0,1
149,Mr. Gogo Puzzles Just A Challenge Mr. Gogo Puzzles Lucky Flower ,0.0,0.0,264.0,0.0,1
150,Puzzlewood Puzzles Mangula Flock Of Birds ,0.0,0.0,0.0,376.0,1
151,Snowflake Puzzles Portrait of an Elizabethan Woman ,0.0,0.0,451.0,0.0,1
152,Stumpcraft Kim Smith Happy Holidays ,0.0,360.0,0.0,0.0,1
153,Artifact Puzzles Joe Vaux Garden Of Earthly Delights ,0.0,619.0,0.0,0.0,1
154,Artifact Puzzles Jethro Buck Reading On The Carpet Of Paradise ,0.0,0.0,378.0,0.0,1
155,Artifact Puzzles Rachell Sumpter Chinatown Quadtych ,0.0,0.0,1121.0,0.0,1
156,Artifact Puzzles Arreguin Jaguars ,0.0,0.0,505.0,0.0,1
157,Artifact Puzzles Bokuyo Forest  ,0.0,0.0,0.0,689.0,1
158,Artifact Puzzles Hieronymus Bosch Garden Of Earthly Delights ,0.0,529.0,0.0,0.0,1
159,Artifact Puzzles Seurat Grande Jatte Artifact Puzzles Klimt The Kiss ,0.0,0.0,0.0,428.0,1
